Date;Price;Open;High;Low;Vol.;Change
01/14/2025;96521.9;94536.7;97361.2;94359.5;94.41*1000;2.10*0.01
01/13/2025;94534.3;94540.5;95906.9;89664.8;115.20*1000;0.00*0.01
01/12/2025;94533.6;94598.0;95383.2;93736.6;31.61*1000;-0.07*0.01
01/11/2025;94596.7;94724.0;95009.4;93847.8;29.16*1000;-0.13*0.01
01/10/2025;94724.1;92540.5;95760.6;92310.6;125.42*1000;2.36*0.01
01/09/2025;92539.8;95066.6;95323.1;91241.9;132.78*1000;-2.66*0.01
01/08/2025;95066.6;96938.2;97266.4;92716.6;100.36*1000;-1.92*0.01
01/07/2025;96929.8;102247.9;102678.2;96201.3;99.77*1000;-5.20*0.01
01/06/2025;102248.7;98373.2;102474.5;97932.3;86.73*1000;3.97*0.01
01/05/2025;98347.7;98220.1;98823.1;97300.0;31.34*1000;0.13*0.01
01/04/2025;98219.9;98168.9;98742.6;97568.9;36.56*1000;0.05*0.01
01/03/2025;98167.5;96960.2;98963.3;96090.6;61.62*1000;1.25*0.01
01/02/2025;96960.0;94561.1;97808.0;94381.2;76.13*1000;2.54*0.01
01/01/2025;94560.2;93557.3;95100.0;92939.3;43.34*1000;1.07*0.01
12/31/2024;93557.2;92777.2;96163.4;92036.2;74.85*1000;0.84*0.01
12/30/2024;92779.8;93718.7;94936.4;91522.3;112.43*1000;-1.00*0.01
12/29/2024;93716.3;95282.6;95315.4;93026.7;47.71*1000;-1.65*0.01
12/28/2024;95284.5;94274.9;95684.3;94124.7;32.97*1000;1.07*0.01
12/27/2024;94275.9;95776.4;97243.3;93472.8;85.12*1000;-1.57*0.01
12/26/2024;95777.7;99389.4;99922.5;95193.3;74.60*1000;-3.64*0.01
12/25/2024;99391.3;98661.9;99514.1;97651.9;39.80*1000;0.73*0.01
12/24/2024;98668.1;94852.8;99446.6;93566.2;69.86*1000;4.02*0.01
12/23/2024;94852.1;95184.8;96517.8;92543.2;133.24*1000;-0.35*0.01
12/22/2024;95183.8;97281.6;97422.2;94265.2;100.64*1000;-2.13*0.01
12/21/2024;97253.3;97799.1;99531.9;96478.6;123.36*1000;-0.55*0.01
12/20/2024;97795.7;97468.3;98178.2;92301.9;221.18*1000;0.34*0.01
12/19/2024;97466.1;100190.5;102778.8;95672.2;200.57*1000;-2.73*0.01
12/18/2024;100197.8;106140.7;106477.6;100049.3;187.49*1000;-5.60*0.01
12/17/2024;106138.9;106053.4;108244.9;105350.6;149.37*1000;0.08*0.01
12/16/2024;106057.6;104479.2;107767.6;103351.7;232.66*1000;1.55*0.01
12/15/2024;104443.0;101417.9;105120.9;101234.9;133.99*1000;2.98*0.01
12/14/2024;101417.7;101423.7;102633.0;100626.3;105.31*1000;-0.01*0.01
12/13/2024;101426.2;100008.3;101891.2;99214.2;162.40*1000;1.42*0.01
12/12/2024;100009.9;101126.3;102495.3;99334.5;188.96*1000;-1.10*0.01
12/11/2024;101126.2;96603.2;101877.1;95689.5;250.02*1000;4.69*0.01
12/10/2024;96600.3;97311.5;98237.8;94304.5;271.45*1000;-0.78*0.01
12/09/2024;97359.4;101129.7;101198.6;94395.8;321.01*1000;-3.72*0.01
12/08/2024;101115.8;99837.0;101339.9;98713.9;128.93*1000;1.28*0.01
